"DATE","MORTGAGE30US","FEDFUNDS","CPILFESL","TB3MS","GS20","HQMCB10YR","LREM64TTUSM156S","NGDPNSAXDCUSQ","USSTHPI"
"1993-10-01",6.834,2.99,153.4,3.02,6.07,6.21,71.2222231182418,1793877,180.28
"1993-11-01",7.155,3.02,153.9,3.1,6.38,6.55,71.4612606033104,1774740.33333333,180.656666666667
"1993-12-01",7.172,2.96,154.3,3.06,6.4,6.58,71.609823890986,1755603.66666667,181.033333333333
"1994-01-01",7.06,3.05,154.5,2.98,6.39,6.54,71.553824661292,1736467,181.41
"1994-02-01",7.1525,3.25,154.8,3.25,6.57,6.76,71.6637404578662,1760838.66666667,181.77
"1994-03-01",7.675,3.34,155.3,3.5,7,7.29,71.5484087430121,1785210.33333333,182.13
"1994-04-01",8.316,3.56,155.5,3.68,7.4,7.88,71.6430486417441,1809582,182.49
"1994-05-01",8.5975,4.01,155.9,4.14,7.54,8.05,71.9554116394142,1818862.66666667,182.743333333333
"1994-06-01",8.3975,4.25,156.4,4.14,7.51,7.95,71.8095699997856,1828143.33333333,182.996666666667
"1994-07-01",8.614,4.26,156.7,4.33,7.67,8.13,71.8367234731544,1837424,183.25
"1994-08-01",8.5125,4.47,157.1,4.48,7.62,8.05,72.0971759345411,1859537,183.2
"1994-09-01",8.64,4.73,157.5,4.62,7.87,8.27,72.2363626518033,1881650,183.15
"1994-10-01",8.925,4.76,157.8,4.95,8.08,8.55,72.4404768766532,1903763,183.1
"1994-11-01",9.17,5.29,158.2,5.29,8.2,8.72,72.6141780187581,1880891,183.416666666667
"1994-12-01",9.198,5.45,158.3,5.6,7.99,8.57,72.6818606789641,1858019,183.733333333333
"1995-01-01",9.1475,5.53,159,5.71,7.97,8.54,72.5785232517924,1835147,184.05
"1995-02-01",8.8275,5.92,159.4,5.77,7.73,8.23,72.7316071161865,1855906,185.06
"1995-03-01",8.462,5.98,159.9,5.73,7.57,7.97,72.7009685225844,1876665,186.07
"1995-04-01",8.32,6.05,160.4,5.65,7.45,7.82,72.5978969195496,1897424,187.08
"1995-05-01",7.955,6.01,160.7,5.67,7.01,7.38,72.4057634063356,1905891.66666667,188.04
"1995-06-01",7.566,6,161.1,5.47,6.59,6.96,72.4420879224429,1914359.33333333,189
"1995-07-01",7.6075,5.85,161.4,5.42,6.74,7.07,72.5464461557276,1922827,189.96
"1995-08-01",7.86,5.74,161.8,5.4,6.92,7.28,72.4754303538727,1943335.66666667,190.45
"1995-09-01",7.636,5.8,162.2,5.28,6.65,6.97,72.488453101867,1963844.33333333,190.94
"1995-10-01",7.475,5.76,162.7,5.28,6.45,6.79,72.5681210141492,1984353,191.43
"1995-11-01",7.3775,5.8,163,5.36,6.33,6.69,72.4839285520327,1964673,192.143333333333
"1995-12-01",7.2,5.6,163.1,5.14,6.12,6.47,72.3539177144888,1944993,192.856666666667
"1996-01-01",7.03,5.56,163.7,5,6.11,6.43,72.3366078814849,1925313,193.57
"1996-02-01",7.075,5.22,164,4.83,6.3,6.6,72.5189278776623,1951912.66666667,193.676666666667
"1996-03-01",7.624,5.31,164.4,4.96,6.74,7.04,72.5957550209255,1978512.33333333,193.783333333333
"1996-04-01",7.925,5.22,164.6,4.95,6.98,7.26,72.5574212446274,2005112,193.89
"1996-05-01",8.07,5.24,165,5.02,7.11,7.47,72.7100406720241,2015125.33333333,194.176666666667
"1996-06-01",8.32,5.27,165.4,5.09,7.22,7.64,72.8299085837406,2025138.66666667,194.463333333333
"1996-07-01",8.245,5.4,165.7,5.15,7.14,7.58,72.9921873681966,2035152,194.75
"1996-08-01",8.002,5.22,166,5.05,6.97,7.35,73.0512818942343,2059285.66666667,195.256666666667
"1996-09-01",8.23,5.3,166.5,5.09,7.17,7.55,73.1686539131938,2083419.33333333,195.763333333333
"1996-10-01",7.915,5.24,166.8,4.99,6.9,7.24,73.2911613658206,2107553,196.27
"1996-11-01",7.618,5.31,167.2,5.03,6.58,6.89,73.1560591425251,2086208,196.813333333333
"1996-12-01",7.5975,5.29,167.4,4.91,6.65,7.01,73.1113042837209,2064863,197.356666666667
"1997-01-01",7.824,5.25,167.8,5.03,6.91,7.28,73.0430840067633,2043518,197.9
"1997-02-01",7.65,5.19,168.1,5.01,6.77,7.11,73.0743512550815,2072220.66666667,198.443333333333
"1997-03-01",7.8975,5.39,168.4,5.14,7.05,7.37,73.3553280404569,2100923.33333333,198.986666666667
"1997-04-01",8.1425,5.51,168.9,5.16,7.2,7.56,73.3658294136743,2129626,199.53
